"taxon_name","accepted_name","ref_author","ref_pubyr","primary_reference","phylum","class","order","family","genus","reference_no","taxon_no","data_enterer","zoobank","ref_language","group","taxon_status","type_locality","type_country","country_reposited","institution_reposited","holotype_number..separate.by...if.multiple.","sp_named_after","sp_language..if.another.language.but.latin.used.","sp_if_person_name","sp_if_person_gender","sp_gender_notes","sp_if_person_country","sp_if_person_country_notes","sp_notes","gen_named_after","gen_language..if.another.language.but.latin.used.","gen_if_person_name","gen_if_person_gender","gen_gender_notes","gen_if_person_country","gen_if_person_country_notes","gen_notes","affiliations_of_authors..separated.by...","countries_of_authors..separated.by...","modified.by","data_from_alternative_source","comments"
"Titanosaurus australis","Neuquensaurus australis","Lydekker","1893","R. Lydekker. 1893. Contributions to a knowledge of the fossil vertebrates of Argentina. I. â€” The dinosaurs of Patagonia. Anales del Museo de La Plata. PaleontologÃ­a Argentina 2:1-16","Chordata","Saurischia","NO_ORDER_SPECIFIED","Saltasauridae","Neuquensaurus","36798",NA,"Nussaïbah B. Raja",NA,NA,NA,"recombined",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"folklore/religion","Greek",NA,NA,NA,NA,NA,"Greek mythology - Titans",NA,"UK",NA,"FALSE","duplicate"
"Titanosaurus colberti","Isisaurus colberti","Jain and Bandyopadhyay","1997","S. L. Jain and S. Bandyopadhyay. 1997. New titanosaurid (Dinosauria: Sauropoda) from the Late Cretaceous of central India. Journal of Vertebrate Paleontology 17(1):114-136","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Isisaurus","4177",NA,"Nussaïbah B. Raja",NA,NA,NA,"recombined",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"folklore/religion","Greek",NA,NA,NA,NA,NA,"Greek mythology - Titans","Indian Statistical Institute","India",NA,"FALSE","duplicate"
"Titanosaurus dacus","Magyarosaurus dacus","Nopcsa","1915","B. F. Nopcsa. 1915. Die dinosaurier der SiebenbÃ¼rgischen landesteile Ungarns [Dinosaurs of the Transylvanian regions of Hungary]. Mitteilungen aus den Jahrbuch der KÃ¶niglich Ungarnischen Geologischen Reichsanstalt 23:1-24","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Magyarosaurus","32943",NA,"Nussaïbah B. Raja",NA,NA,NA,"recombined",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"folklore/religion","Greek",NA,NA,NA,NA,NA,"Greek mythology - Titans",NA,"Austria",NA,"FALSE","duplicate"
"Trachodon amurense","Mandschurosaurus amurensis","Godefroit et al.","2004","P. Godefroit, Y. L. Bolotsky, and J. Van Itterbeeck. 2004. The lambeosaurine dinosaur Amurosaurus riabinini, from the Maastrichtian of Far Eastern Russia. Acta Palaeontologica Polonica 49(4):575-618","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Mandschurosaurus","12501",NA,"Nussaïbah B. Raja",NA,NA,NA,"recombined",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"morphological characteristics",NA,NA,NA,NA,NA,NA,"""rough tooth""","Institut royal des Sciences naturelles de Belgique; Amur Natural History Museum; Katholieke Universiteit Leuven","Belgium; Russia; the Netherlands",NA,"FALSE","duplicate"
"Trachodon annectens","Edmontosaurus annectens","Osborn","1911","H. F. Osborn. 1911. A dinosaur mummy. The American Museum Journal 11(1):6-11","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Edmontosaurus","34576",NA,"Nussaïbah B. Raja",NA,NA,NA,"recombined",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"morphological characteristics",NA,NA,NA,NA,NA,NA,"""rough tooth""","American Museum of Natural History","USA",NA,"FALSE",NA
"Troodon edmontonensis","Sphaerotholus edmontonense","Brown and Schlaikjer","1943","B. Brown and E. M. Schlaikjer. 1943. A study of the troÃ¶dont dinosaurs with the description of a new genus and four new species. Bulletin of the American Museum of Natural History 82(5):115-150","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Prenocephale","12773",NA,"William Foster",NA,NA,NA,"recombined",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"behavioural characteristics","Greek",NA,NA,NA,NA,NA,"""Wounding tooth""",NA,"Unknown",NA,"FALSE","This is already enetered above, but where it is entered it doesn't show the name change"
"Troodon inequalis","Stenonychosaurus inequalis","Currie","2005","P. J. Currie. 2005. History of research. In P. J. Currie and E. B. Koppelhus (eds.), Dinosaur Provincial Park: A Spectacular Ancient Ecosystem Revealed. Indiana University Press, Bloomington","Chordata","Saurischia","Avetheropoda","Troodontidae","Stenonychosaurus","16964",NA,"Nussaïbah B. Raja",NA,NA,NA,"recombined",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"behavioural characteristics","Greek",NA,NA,NA,NA,NA,"""Wounding tooth""","Royal Tyrrell Museum of Palaeontology","Canada",NA,"FALSE","duplicate"
"Troodon sternbergi","Hanssuesia sternbergi","Brown and Schlaikjer","1943","B. Brown and E. M. Schlaikjer. 1943. A study of the troÃ¶dont dinosaurs with the description of a new genus and four new species. Bulletin of the American Museum of Natural History 82(5):115-150","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Pachycephalosauridae","Hanssuesia","12773",NA,"Nussaïbah B. Raja",NA,NA,NA,"recombined",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"behavioural characteristics","Greek",NA,NA,NA,NA,NA,"""Wounding tooth""",NA,"Unknown",NA,"FALSE","duplicate"
"Troodon validus","Stegoceras validum","Gilmore","1924","C. W. Gilmore. 1924. On Troodon validus, an orthopodous dinosaur from the Belly River Cretaceous of Alberta, Canada. Department of Geology, University of Alberta Bulletin 1:1-43","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Stegoceras","14571",NA,"Nussaïbah B. Raja",NA,NA,NA,"recombined",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"behavioural characteristics","Greek",NA,NA,NA,NA,NA,"""Wounding tooth""","United States National Museum","USA",NA,"FALSE","duplicate"
"Troodon wyomingensis","Pachycephalosaurus wyomingensis","Gilmore","1931","C. W. Gilmore. 1931. A new species of troÃ¶dont dinosaur from the Lance Formation of Wyoming. Proceedings of the United States National Museum 79(9):1-6","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Pachycephalosaurus","14577",NA,"Nussaïbah B. Raja","NA","English","dinosauria","recombined","""western North America""","USA","USA","US National Museum","USNM 12031","location/geography",NA,NA,NA,NA,NA,NA,"Wyoming","behavioural characteristics","Greek",NA,NA,NA,NA,NA,"""Wounding tooth""","United States National Museum","USA",NA,"FALSE","duplicate"
