"ending","family","full","given","nickname/given","alternate","nickname/family","uncertain","unknown","country","ethnic group/society","band","nickname","title"
"-ae",0.622222222222222,0.0222222222222222,0.333333333333333,0.0222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-i",0.930555555555556,0.0277777777777778,0.0329861111111111,NA,0.00173611111111111,0.00347222222222222,0.00173611111111111,0.00173611111111111,NA,NA,NA,NA,NA
"-orum/-arum",0.904761904761905,NA,NA,NA,NA,NA,NA,NA,0.0476190476190476,0.0476190476190476,NA,NA,NA
"other",0.659722222222222,0.0555555555555556,0.208333333333333,0.00694444444444444,0.0138888888888889,NA,NA,NA,NA,0.0138888888888889,0.00694444444444444,0.0277777777777778,0.00694444444444444
